[2024-12-07 22:40:06.010] [info]  DiscordSplash.signalReady
[2024-12-07 22:40:06.067] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-07 22:40:06.068] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2024-12-07 22:40:06.071] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-07 22:40:06.071] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2024-12-07 22:40:06.072] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-07 22:40:06.072] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2024-12-07 22:40:06.072] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-07 22:40:06.073] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2024-12-07 22:40:06.073] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-07 22:40:06.073] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2024-12-07 22:40:06.074] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-07 22:40:06.074] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2024-12-07 22:40:06.074] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-07 22:40:06.074] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2024-12-07 22:40:10.324] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-07 22:40:10.325] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2024-12-07 22:40:15.648] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-07 22:40:15.648] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2024-12-07 22:40:15.651] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-07 22:40:15.651] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2024-12-07 22:40:15.676] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-07 22:40:15.676] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":4}
[2024-12-07 22:40:15.680] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-07 22:40:15.680] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2024-12-07 22:40:15.697] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-07 22:40:15.697] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":7}
[2024-12-07 22:40:15.713] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
