
2024/07/06 (02:06:15) | ===> btop++ v.1.3.2
2024/07/06 (02:06:15) | INFO: Logger set to INFO
2024/07/06 (02:06:16) | INFO: Logger set to DEBUG
2024/07/06 (02:06:25) | INFO: Logger set to INFO
2024/07/06 (02:06:51) | INFO: Quitting! Runtime: 00:01:05

2024/07/06 (02:06:58) | ===> btop++ v.1.3.2
2024/07/06 (02:06:58) | INFO: Logger set to INFO
2024/07/06 (02:06:58) | INFO: Running on /dev/pts/4
2024/07/06 (02:06:58) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/06 (02:06:58) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/07/06 (02:09:32) | ===> btop++ v.1.3.2
2024/07/06 (02:09:32) | INFO: Logger set to INFO
2024/07/06 (02:09:32) | INFO: Running on /dev/pts/4
2024/07/06 (02:09:32) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/06 (02:09:32) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/06 (02:10:21) | INFO: Quitting! Runtime: 00:00:49

2024/07/06 (02:18:41) | ===> btop++ v.1.3.2
2024/07/06 (02:18:41) | INFO: Logger set to INFO
2024/07/06 (02:18:41) | INFO: Running on /dev/pts/2
2024/07/06 (02:18:41) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/06 (02:18:41) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/07/06 (02:19:39) | INFO: Quitting! Runtime: 00:00:58

2024/07/07 (21:30:04) | ===> btop++ v.1.3.2
2024/07/07 (21:30:04) | INFO: Logger set to INFO
2024/07/07 (21:30:04) | INFO: Running on /dev/pts/0
2024/07/07 (21:30:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/07 (21:30:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/07/07 (21:30:50) | ===> btop++ v.1.3.2
2024/07/07 (21:30:50) | INFO: Logger set to INFO
2024/07/07 (21:30:50) | INFO: Running on /dev/pts/0
2024/07/07 (21:30:50) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/07 (21:30:50) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/07/08 (18:29:35) | ===> btop++ v.1.3.2
2024/07/08 (18:29:35) | INFO: Logger set to INFO
2024/07/08 (18:29:35) | INFO: Running on /dev/pts/2
2024/07/08 (18:29:35) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (18:29:35) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/07/08 (18:36:33) | ===> btop++ v.1.3.2
2024/07/08 (18:36:33) | INFO: Logger set to INFO
2024/07/08 (18:36:33) | INFO: Running on /dev/pts/2
2024/07/08 (18:36:33) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/08 (18:36:33) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory

2024/07/11 (14:19:44) | ===> btop++ v.1.3.2
2024/07/11 (14:19:44) | INFO: Logger set to INFO
2024/07/11 (14:19:44) | INFO: Running on /dev/pts/0
2024/07/11 (14:19:44) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/07/11 (14:19:44) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
